4.58;2.57
4.41;2.56
4.28;2.55
4.19;2.53
4.09;2.56
4.01;2.59
3.96;2.66
3.88;2.66
4.13;2.67
4.78;2.69
5.35;2.78
6.11;2.81
4.88;2.84
5.35;2.87
5.54;2.97
5.33;3.04
4.48;3.08
4.23;3.09
3.89;3.08
2.91;3.05
2.79;3.02
2.86;2.99
2.89;2.97
2.88;2.94
2.89;2.94
2.93;2.90
2.95;2.82
3.00;2.82
2.98;2.89
2.83;3.05
2.81;3.21
2.74;3.31
2.85;3.39
3.30;3.44
3.87;3.42
4.53;3.41
5.12;3.36
5.42;3.36
5.48;3.38
5.25;3.45
4.71;3.52
4.48;3.58
4.35;3.48
4.10;3.39
3.80;3.34
3.54;3.31
3.26;3.21
3.00;3.09
2.82;3.07
2.64;3.04
2.48;3.02
2.28;3.01
2.15;3.04
2.02;3.13
1.85;3.21
1.70;3.37
1.73;3.44
2.20;3.38
2.63;3.32
2.86;3.28
3.16;3.26
3.38;3.22
3.45;3.21
3.30;3.21
2.66;3.23
2.50;3.22
2.35;3.19
2.20;3.13
2.08;3.07
1.96;3.01
1.78;2.93
1.63;2.83
1.47;2.66
1.32;2.62
1.16;2.59
0.99;2.60
0.83;2.64
0.70;2.76
0.56;2.88
0.45;3.04
0.37;3.13
0.52;3.18
1.12;3.20
1.66;3.22
2.19;3.21
2.43;3.21
2.67;3.25
2.37;3.33
1.66;3.41
1.26;3.45
0.87;3.38
0.53;3.28
0.28;3.21
0.15;3.17
0.07;3.14
-0.03;3.06
-0.13;3.05
-0.20;3.02
-0.32;3.00
-0.52;3.00
-0.72;3.06
-0.76;3.15
-0.87;3.35
-0.95;3.81
-0.75;4.17
0.78;4.13
1.51;4.23
2.04;4.30
2.56;4.24
2.88;4.28
2.55;4.31
1.50;4.49
0.47;5.06
0.13;5.04
-0.15;4.81
-0.56;4.58
-0.75;4.20
-0.99;3.78
-1.39;3.50
-1.69;3.33
-1.98;3.32
-2.20;3.28
-2.52;3.19
-2.82;3.19
-3.08;3.18
-3.30;3.16
-3.43;3.26
-3.63;3.29
-3.44;3.33
-2.24;3.33
-0.14;3.34
1.19;3.30
2.02;3.28
2.47;3.26
2.24;3.24
1.45;3.26
0.47;3.28
-0.19;3.28
-0.79;3.23
-1.33;3.15
-1.80;3.10
-2.27;3.04
-2.63;2.98
-2.42;2.89
-2.45;2.91
-2.86;2.84
-3.20;2.79
-3.40;2.74
-3.62;2.77
-3.80;2.83
-3.90;2.88
-4.04;2.93
-3.78;2.99
-2.25;3.04
-0.38;3.08
1.34;3.09
3.05;3.09
3.54;3.08
3.27;3.10
2.59;3.16
1.54;3.25
0.89;3.29
0.26;3.26
-0.28;3.20
-0.76;3.14
-1.30;3.12
-1.88;3.10
-2.34;3.05
-2.37;3.06
-2.67;3.05
-3.11;3.03
-3.55;3.03
-3.85;3.05
-4.04;3.05
-4.17;3.06
-4.17;3.04
-3.63;3.06
-1.70;3.08
0.92;3.12
2.82;3.09
3.78;3.09
4.32;3.08
4.18;3.08
3.58;3.09
2.50;3.12
1.72;3.14
1.15;3.11
0.61;3.09
0.14;3.07
-0.43;3.08
-1.04;3.03
-1.53;2.97
-1.72;2.94
-2.05;2.89
-2.60;2.88
-2.90;2.90
-3.20;2.95
-3.32;3.02
-3.45;3.08
-3.64;3.23
-3.18;3.30
-1.09;3.28
1.67;3.27
3.62;3.22
3.06;3.20
3.75;3.18
3.56;3.16
2.87;3.19
1.78;3.20
1.13;3.20
